,highest_market_value_in_eur,Born,Age,npxG+xAG,G+A,PrgC,xAG,Ast,PrgP,90s,Min,Starts,PrgR,Rk,G+A-PK,market_value_in_eur
92,0.1386496248958044,0.2400000000000091,0.75,0.6177777777777779,0.576923076923077,0.475609756097561,0.3561643835616438,0.2727272727272727,0.5221843003412969,0.8872832369942196,0.887210796915167,0.8571428571428571,0.4772727272727273,0.0525195173882186,0.24277456647398846,7000000
93,0.0005557099194220616,0.960000000000008,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.006825938566552901,0.028901734104046242,0.028920308483290486,0.02857142857142857,0.008264462809917356,0.053584102200141946,0.0,150000
94,0.41650458460683526,0.3200000000000074,0.6666666666666667,0.08444444444444445,0.038461538461538464,0.054878048780487805,0.0273972602739726,0.0,0.010238907849829351,0.1791907514450867,0.17769922879177377,0.14285714285714285,0.05991735537190083,0.0539389638041164,0.09248554913294799,7000000
95,0.41650458460683526,0.3200000000000074,0.6666666666666667,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0028901734104046246,0.002570694087403599,0.0,0.0,0.05429382540809084,0.0,7000000
96,0.013614893025840513,0.4000000000000057,0.625,0.16444444444444445,0.15384615384615385,0.12195121951219512,0.136986301369863,0.18181818181818182,0.25938566552901027,0.41329479768786126,0.4138817480719794,0.45714285714285713,0.11570247933884298,0.056422995031937546,0.12138728323699423,1000000
98,0.11086412892470132,0.6400000000000006,0.33333333333333326,0.3111111111111111,0.2692307692307693,0.08536585365853659,0.07534246575342465,0.09090909090909091,0.03754266211604096,0.37283236994219654,0.3717866323907455,0.39999999999999997,0.09504132231404959,0.057487579843860895,0.3121387283236995,20000000
99,0.02195054181717144,0.8800000000000097,0.08333333333333337,0.008888888888888889,0.0,0.0,0.00684931506849315,0.0,0.006825938566552901,0.005780346820809249,0.006748071979434447,0.0,0.004132231404958678,0.05784244144783535,0.0,4000000
100,0.09974993053626008,0.3200000000000074,0.6666666666666667,0.013333333333333334,0.0,0.01829268292682927,0.0,0.0,0.03754266211604096,0.10115606936416185,0.1005784061696658,0.02857142857142857,0.03305785123966942,0.05855216465578424,0.0,2200000
101,0.05529313698249514,0.4000000000000057,0.5833333333333333,0.24444444444444446,0.23076923076923078,0.45121951219512196,0.18493150684931506,0.18181818181818182,0.1945392491467577,0.7861271676300577,0.7850257069408739,0.7999999999999999,0.3367768595041322,0.058907026259758695,0.1271676300578035,6000000
102,0.0019449847179772162,0.8000000000000114,0.20833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05997161107168204,0.0,400000
103,0.1386496248958044,0.5600000000000023,0.45833333333333326,0.24888888888888888,0.19230769230769232,0.054878048780487805,0.1643835616438356,0.09090909090909091,0.09556313993174062,0.23410404624277456,0.23296915167095114,0.17142857142857143,0.08264462809917356,0.060326472675656495,0.35838150289017345,12000000
104,0.01917199222006113,0.6000000000000085,0.41666666666666674,0.03111111111111111,0.0,0.01829268292682927,0.0136986301369863,0.0,0.13310580204778158,0.47109826589595377,0.47075835475578404,0.4857142857142857,0.012396694214876033,0.06139105748757984,0.0,3000000
106,0.24979160878021675,0.6400000000000006,0.33333333333333326,0.38222222222222224,0.2692307692307693,0.48170731707317077,0.2534246575342466,0.2727272727272727,0.08873720136518772,0.5722543352601156,0.5716580976863752,0.6571428571428571,0.35330578512396693,0.06458481192334989,0.2023121387283237,25000000
107,0.0030564045568213394,0.7600000000000051,0.20833333333333337,0.0044444444444444444,0.0,0.0,0.00684931506849315,0.0,0.006825938566552901,0.017341040462427744,0.016066838046272493,0.0,0.0,0.06564939673527324,0.0,500000
108,0.071964434565157,0.9200000000000017,0.04166666666666674,0.05333333333333334,0.038461538461538464,0.06097560975609756,0.0273972602739726,0.0,0.08191126279863481,0.1676300578034682,0.16870179948586117,0.17142857142857143,0.002066115702479339,0.0660042583392477,0.09826589595375725,13000000
109,0.05529313698249514,0.7200000000000131,0.29166666666666674,0.10666666666666667,0.07692307692307693,0.13414634146341464,0.0821917808219178,0.09090909090909091,0.09897610921501707,0.30057803468208094,0.3017352185089974,0.22857142857142856,0.09710743801652894,0.06635911994322215,0.10982658959537574,8000000
110,0.05529313698249514,0.7200000000000131,0.29166666666666674,0.12000000000000001,0.038461538461538464,0.12804878048780488,0.07534246575342465,0.0,0.12969283276450513,0.2138728323699422,0.21240359897172237,0.17142857142857143,0.1590909090909091,0.0667139815471966,0.0809248554913295,8000000
111,0.1386496248958044,0.4000000000000057,0.625,0.044444444444444446,0.038461538461538464,0.006097560975609756,0.0684931506849315,0.09090909090909091,0.0,0.020231213872832367,0.018637532133676093,0.0,0.008264462809917356,0.06706884315117105,0.8843930635838151,5000000
112,0.22200611280911367,0.5200000000000102,0.45833333333333326,0.0,0.0,0.0,0.0,0.0,0.006825938566552901,0.014450867052023121,0.012853470437017993,0.0,0.002066115702479339,0.06742370475514549,0.0,2500000
113,0.05529313698249514,0.8800000000000097,0.125,0.17333333333333334,0.15384615384615385,0.34146341463414637,0.1095890410958904,0.0,0.23208191126279865,0.5520231213872833,0.5514138817480719,0.6571428571428571,0.18181818181818182,0.06848828956706884,0.12138728323699423,10000000
114,0.01639344262295082,0.9200000000000017,0.08333333333333337,0.017777777777777778,0.0,0.08536585365853659,0.00684931506849315,0.0,0.08532423208191127,0.10115606936416185,0.0999357326478149,0.08571428571428572,0.012396694214876033,0.0695528743789922,0.0,3000000
